"noprimer_pairs"	"qc_pairs"	"forward_denoised"	"reverse_denoised"	"merged"	"non-chimeric"
16801	13214	12346	12918	9661	8352
17684	13862	13224	13591	11053	8951
18840	14719	13996	14504	11349	9410
18189	13864	12465	13289	9320	8174
16228	12451	10961	11779	8656	8240
15549	12172	10751	11577	8593	8048
17881	13503	12090	12874	9797	9269
47336	34043	30191	32407	24257	22836
10666	7759	6712	7238	5363	5127
13828	10743	9650	10207	7874	7329
21576	16691	15037	15855	12563	12137
24398	19192	16837	18097	13550	12952
22687	18151	15846	17269	12203	11262
26257	20907	18447	19833	14503	13166
13290	3484	1750	2364	965	880
10814	7655	5347	6512	3763	3592
18003	14025	11899	13089	9530	9315
23456	17067	14500	15790	12053	11732
27720	20957	17199	18925	14391	14178
28922	20725	17199	18761	14056	13789
21725	15501	12910	14260	10997	10892
18104	12647	10372	11512	8741	8582
19442	14348	11858	12961	10034	9848
11876	7228	5179	6243	3897	3790
39382	27864	22844	25485	19239	18414
31141	23005	19326	21014	16515	16188
29911	20963	16797	18829	13755	13523
21768	15758	12013	13808	9641	9595
24966	17711	14837	16247	12385	12187
27941	21154	15668	18668	12232	11786
30386	23375	18722	20789	15079	14740
19648	14692	11474	12920	9324	9132
30999	23619	17148	20608	12956	12273
11160	7645	5056	6366	3664	3374
19667	13142	10159	11404	7935	7874
13474	9794	6928	8292	5415	5139
18448	14006	12987	13684	9880	7967
25139	17172	16233	16842	9969	6769
13855	8298	7800	8138	5400	4402
15845	12468	11369	12044	8845	7642
43880	35277	34090	34695	25246	18597
63280	48431	45388	47297	33131	26257
20439	14720	13850	14271	12037	11078
25158	18681	17146	17971	13641	12398
21119	16183	15213	15689	12336	11501
35059	26756	25242	26142	19239	14895
50813	38029	36102	37252	29227	26359
422	291	123	237	69	69
17362	10723	9910	10320	7900	7276
42075	31271	30577	30802	27789	26264
15722	11995	10969	11538	9124	8668
23968	19065	17717	18475	12119	9761
21826	16839	15534	16340	11610	9505
21265	14744	12952	13932	10431	9940
18038	13783	11760	12833	9199	8610
14178	10784	8387	9859	5740	4691
22521	17161	14807	16196	11535	10543
38688	26694	24974	25900	20417	18371
59783	46232	39529	43323	31472	29332
45654	35742	29780	33838	20847	17095
37496	28751	23084	26610	15755	12929
23633	16432	13310	15045	10852	10611
40178	31295	25642	29018	19336	16869
29328	22468	18712	20900	15751	14873
19631	13743	11473	12677	9464	8990
31450	24458	20758	22707	16745	15341
24502	18020	15349	16723	12861	12285
16000	11525	9655	10736	8015	7838
15010	11009	9192	10152	7588	7087
16275	10739	8808	9829	7512	7411
32116	24374	20578	22550	17136	15958
18988	14414	12044	13259	10168	9523
